model_id,provider,mode,mode_label,completed_tracks,coverage,mean_score,coverage_adjusted_score,human_effect_category_macro_f1,human_effect_evidence_accuracy,human_effect_overclaim_penalty,binding_rank_spearman,binding_rank_kendall,binding_rank_pairwise_accuracy,pose_contact_precision,pose_contact_recall,pose_contact_f1,structure_score,structure_rmsd_status,total_cases_attempted,total_cases_completed,invalid_json_count,api_error_count,total_cost_estimate_if_available,run_timestamp,benchmark_release,evaluator_commit,is_baseline,competitive,scored,fallback_prediction_count,unresolved_provider_error_count,unresolved_invalid_json_count,row_status,status,leaderboard_status,retry_recovered_count,retry_still_failed_count
openai/gpt-5.5-pro,openai,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.45101222373372285,0.45101222373372285,0.32222222222222224,0.875,25,-0.08046115180316175,-0.06702941502941503,0.44648529248529234,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
openai/gpt-5.5-pro,openai,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.3006748158224819,0.3006748158224819,0.32222222222222224,0.875,25,-0.08046115180316175,-0.06702941502941503,0.44648529248529234,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
anthropic/claude-sonnet-5,anthropic,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.5886855771161441,,0.7684848484848484,1.0,0,0.022815669982473297,-0.025385281385281382,0.46730735930735934,,,,,,225,225,0,1,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,False,False,1,1,0,excluded_provider_error,"excluded_provider_error, errors",excluded_provider_error,1,1
anthropic/claude-sonnet-5,anthropic,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.36755236458875556,0.36755236458875556,0.3102720727101039,1.0,0,-0.08581160808220792,-0.10628615828615828,0.42685692085692084,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
google/gemini-2.5-pro,google,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.531055853478244,0.531055853478244,0.15808491418247517,0.87,0,0.014305924045297071,-0.06066878966266971,0.4496656051686652,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
google/gemini-2.5-pro,google,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.34123460377738724,0.34123460377738724,0.1891891891891892,0.855,0,0.04088978375666004,0.022153028604641505,0.23107651430232082,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
deepseek/deepseek-v4-pro,deepseek,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.5776613714924981,0.5776613714924981,0.6161196827863494,0.93,0,-0.06020836023484085,-0.04859940059940058,0.4557002997002998,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
deepseek/deepseek-v4-pro,deepseek,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.39173623163063764,0.39173623163063764,0.8055555555555555,0.97,0,-0.18320315310384377,-0.1521056721056721,0.4039471639471639,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
x-ai/grok-4.3,x-ai,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.5651015791468337,0.5651015791468337,0.7679487179487179,0.325,0,0.05742785197090579,0.05012631812631814,0.505063159063159,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
x-ai/grok-4.3,x-ai,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.38654801907692465,0.38654801907692465,0.5944444444444444,0.5,0,0.08695281047311047,0.08378909978909978,0.5218945498945499,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
